PC1,PC2,CANDIDAT,cluster
-3.490733814503373,-1.360015906445145,Arthaud,0
-3.773159394965886,-0.3931417453407479,Melanchon,0
-4.768586518527243,-0.16322657557669287,Poutou,0
-2.3287871445446418,-0.8832972082749166,Roussel,0
-0.9225629037106664,3.301305255070355,Hidalgo,0
-2.4910701692577226,2.9258262188722757,Jadot,0
3.248273289287356,3.5131954663051466,Macron,1
5.5971947313095045,1.704638982982801,Pecresse,1
0.3108963403604478,-1.7894018616548955,Lassalle,2
2.4840176552068725,-2.6955127084548396,Dupont-Aignan,2
1.8355756115491844,-2.213265107767289,Le Pen,2
4.298942317796164,-1.9471048097160517,Zemmour,2
